Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
28-08-2019,287.25,287.25,282.2,284.9,284.54,915588,6947,260517294,181982,19.88,5.05,-2.35
27-08-2019,284.4,288,282.75,285.7,286.18,3226219,16573,923268916,1827242,56.64,5.25,1.3
26-08-2019,288,288,270.05,280.25,278.13,5094718,21253,1416991897,2777390,54.52,17.95,-7.75
23-08-2019,267.4,275.05,262.7,271.1,269.99,1261096,9749,340482023,162223,12.86,12.35,3.7
22-08-2019,277,278,267.3,268.4,272.99,953867,9114,260395505,192972,20.23,10.7,-8.6
21-08-2019,285.3,285.8,276.4,277.4,280.57,977952,9780,274381028,258160,26.4,9.4,-7.9
20-08-2019,286.55,287.55,280.85,283.65,283.22,844230,7920,239102878,160831,19.05,6.7,-2.9
19-08-2019,292.65,292.65,286.1,286.7,288.69,716842,6361,206942333,133686,18.65,6.55,-5.95
16-08-2019,287.2,292.6,284.3,290.95,288.81,7291861,7831,2105988992,6490559,89.01,8.3,3.75
14-08-2019,285,291.25,284.35,289.85,288.35,767771,6478,221389000,178967,23.31,6.9,4.85
13-08-2019,292.1,292.1,282.6,283.4,287.33,851714,9080,244726204,240067,28.19,9.5,-8.7
09-08-2019,297,297.95,290.2,291.35,294.05,1054810,8399,310164114,185422,17.58,7.75,-5.65
08-08-2019,290,295.4,285.65,294.3,290.71,1092000,11009,317455360,167129,15.3,9.75,4.3
07-08-2019,302.55,303.05,288.85,289.95,296.63,1228606,11497,364437210,265444,21.61,14.2,-12.6
06-08-2019,298.7,304.35,297.5,301.25,301.06,1702032,9808,512407465,690498,40.57,6.85,2.55
05-08-2019,299.7,302.85,292,300.25,297.02,1993140,17543,591993514,457546,22.96,10.85,0.55
02-08-2019,315.55,322.2,307.05,308.45,315.05,2971380,25752,936122159,353589,11.9,15.15,-7.1
01-08-2019,331,331.55,311.5,317.2,321.24,1435145,15063,461020577,251075,17.49,20.05,-13.8
31-07-2019,325.75,333.1,323.9,332.05,328.85,863474,11064,283951736,211071,24.44,9.2,6.3
30-07-2019,343.75,346.7,325.85,327.5,335.13,980143,11095,328471241,232659,23.74,20.85,-16.25
29-07-2019,342.6,346.6,336.95,343.65,341.92,665510,6389,227549965,85196,12.8,9.65,1.05
26-07-2019,341.45,346.1,340.85,342.5,343.46,728342,7031,250157367,152640,20.96,5.25,1.05
25-07-2019,341,343.2,337.55,341.4,340.05,684937,5424,232914762,84619,12.35,5.65,0.4
24-07-2019,342.2,344.75,336.3,339.65,340.83,766187,7656,261138382,106698,13.93,8.45,-2.55
23-07-2019,352.8,353.1,341.05,342.05,346.18,929840,10996,321892206,151369,16.28,12.05,-10.75
22-07-2019,356.2,359.5,348.8,350.8,352.97,1051694,10038,371217058,268818,25.56,10.7,-5.4
19-07-2019,364.65,365.9,355.15,356,358.7,533455,6597,191350425,126170,23.65,10.75,-8.65
18-07-2019,372.2,373.7,362.6,363.65,367.99,842441,7242,310005748,247377,29.36,11.1,-8.55
17-07-2019,364.55,373.5,363.2,372.15,368.94,652963,7557,240907302,165495,25.35,10.3,7.6
16-07-2019,358.8,365.85,357.55,364.25,363.78,467513,5638,170070285,141641,30.3,8.3,5.45
15-07-2019,364.1,364.65,357.6,359.95,359.73,1135189,7669,408359668,703496,61.97,7.05,-4.15
12-07-2019,363.35,366.4,361.5,363.55,363.89,472281,5623,171856800,116299,24.62,4.9,0.2
11-07-2019,358,364,357.05,363.1,360.27,738643,5886,266114374,183274,24.81,6.95,5.1
10-07-2019,360.3,361.7,351.35,354.2,353.75,1309501,9846,463230193,666834,50.92,10.35,-6.1
09-07-2019,355,360,352.6,359.15,357.16,840451,8507,300175559,124693,14.84,7.4,4.15
08-07-2019,368.9,368.9,353.55,355.25,358.67,901026,12106,323171461,198178,21.99,15.35,-13.65
05-07-2019,369.25,373.4,366,370.6,369.93,1784869,15203,660282120,442430,24.79,7.4,1.35
04-07-2019,367,370.7,366.3,367.3,368.76,849228,9234,313161101,185539,21.85,4.4,0.3
03-07-2019,366,366.55,363.15,366.15,365.23,484847,8363,177080617,117230,24.18,3.4,0.15
02-07-2019,362.5,365,360.35,364.5,362.76,530796,7068,192553812,144413,27.21,4.65,2
01-07-2019,362.2,362.95,358.55,361.5,360.69,385010,4705,138870398,67182,17.45,4.4,-0.7
28-06-2019,362,364.85,358.9,360.9,362.57,757668,6414,274707071,132946,17.55,5.95,-1.1
27-06-2019,358,363,357.4,362.05,360.57,825941,7492,297810170,216163,26.17,5.6,4.05
26-06-2019,355.55,359,354.65,358,356.96,638202,6218,227813518,173516,27.19,4.35,2.45
25-06-2019,353.25,356.9,351.25,356.5,354.17,591162,6451,209370327,166735,28.2,5.65,3.25
24-06-2019,350,354.55,349.75,353.25,352.3,839158,6670,295638102,225959,26.93,4.8,3.25
21-06-2019,345,350.45,343.25,349.45,347.96,840865,7777,292587317,202622,24.1,7.2,4.45
20-06-2019,342,346.2,335.8,345.05,341.15,688573,9057,234905787,119158,17.3,10.4,3.05
19-06-2019,343.6,345.1,335.7,338.85,340.23,566810,5912,192845360,81221,14.33,9.4,-4.75
18-06-2019,335.05,343.9,333.75,340.25,339.62,1181672,8158,401317725,207854,17.59,10.15,5.2
17-06-2019,343.8,343.9,337.05,337.75,340.03,505325,4758,171823591,140629,27.83,6.85,-6.05
14-06-2019,346.2,346.35,342.7,343.85,344.53,556440,3875,191708223,128839,23.15,3.65,-2.35
13-06-2019,342.2,347,339.55,346.3,341.81,1997665,7231,682823343,1103572,55.24,7.45,4.1
12-06-2019,347.35,347.35,342.5,344.2,344.18,636710,4643,219140844,146851,23.06,4.85,-3.15
11-06-2019,344,348.2,342.85,347.35,345.74,799537,6235,276429985,201837,25.24,5.35,3.35
10-06-2019,345.4,347.5,339.9,343.4,342.82,1179734,10077,404438406,286948,24.32,7.6,-2
07-06-2019,337.9,342.35,335.85,341.65,339.42,1187491,8956,403060681,169824,14.3,6.5,3.75
06-06-2019,349.8,349.8,336.1,337.05,343.33,1463518,11680,502464470,292103,19.96,13.7,-12.75
04-06-2019,354.3,357.15,351.35,352.35,354.6,2138824,9283,758419921,1171278,54.76,5.8,-1.95
03-06-2019,352.05,355.55,349.8,354.9,352.68,1028901,9413,362874060,229436,22.3,5.75,2.85
31-05-2019,354.1,357.8,345,352.55,352.55,1309018,16556,461488475,273997,20.93,12.8,-1.55
30-05-2019,350,354.9,347.6,353.65,351.61,1041082,8188,366050009,322536,30.98,7.3,3.65
29-05-2019,358.45,359,347.2,348.55,350.82,1072362,10961,376205129,310081,28.92,11.8,-9.9
28-05-2019,361.5,361.5,356.7,360.4,358.79,1311058,10340,470388366,316287,24.12,4.8,-1.1
27-05-2019,355.3,362.2,354,361.45,359.7,1801457,13239,647978830,602971,33.47,8.2,6.15
24-05-2019,345.2,356,343.5,354.6,350.28,2400864,17547,840964092,597460,24.89,12.5,9.4
23-05-2019,350,364,339.2,342.3,354.31,4157235,34462,1472944248,865051,20.81,24.8,-7.7
22-05-2019,339.5,342.8,333.55,340.85,337.88,1969361,10018,665413363,595890,30.26,9.25,1.35
21-05-2019,346.05,347.1,336.15,337.55,339.23,5921841,18144,2008880948,2998572,50.64,10.95,-8.5
20-05-2019,334.5,346.1,330.75,344.6,339.98,3409600,28146,1159204380,980951,28.77,15.35,10.1
17-05-2019,315.05,321.6,313.3,318.95,316.83,922507,6979,292281854,194928,21.13,8.3,3.9
16-05-2019,312.5,316.85,309.5,315.2,312.47,907009,6005,283409029,171423,18.9,7.35,2.7
15-05-2019,316,317.75,310.2,311.6,313.66,1670626,9517,524013301,420884,25.19,7.55,-4.4
14-05-2019,307.9,316.05,305.05,313.9,310.24,1364050,9602,423187200,335463,24.59,11,6
13-05-2019,310.4,314.4,305.1,306.75,309.74,1903014,13247,589445971,404665,21.26,9.3,-3.65
10-05-2019,301.95,310.7,292.2,308.05,302.69,3616120,24012,1094554836,540697,14.95,18.5,6.1
09-05-2019,298.9,300.95,295.95,299.25,298.68,1254416,6573,374672447,455020,36.27,5,0.35
08-05-2019,305.45,305.45,297,298.1,302.15,1347901,6784,407264397,566608,42.04,8.45,-7.35
07-05-2019,310.3,312.3,304.05,305.85,309.83,1896017,8832,587440363,763583,40.27,8.25,-4.45
06-05-2019,307.8,310,305.9,308.7,308.26,614890,4230,189543402,183952,29.92,4.1,0.9
03-05-2019,308.1,311.5,308.1,309.15,310.62,2895175,6592,899298022,2373150,81.97,3.4,1.05
02-05-2019,308,311.35,305.6,307.45,307.86,1414777,8650,435548340,584318,41.3,5.75,-0.55
30-04-2019,312.5,312.5,305,310.2,308.1,641470,5274,197637327,115880,18.06,7.5,-2.3
26-04-2019,306.45,313.25,306.45,312.3,310.3,714393,5338,221678450,198629,27.8,6.8,5.85
25-04-2019,311.5,312.05,305.7,306.3,309.03,575028,5839,177701055,135971,23.65,6.35,-5.2
24-04-2019,307,311.85,303.6,310.7,307.43,737115,6579,226609760,171321,23.24,8.25,3.7
23-04-2019,310.45,313.55,304.9,305.65,309.81,760962,5660,235757105,238156,31.3,8.65,-4.8
22-04-2019,309.05,312.4,306.5,310,309.65,819602,7008,253789482,229458,28,5.9,0.95
18-04-2019,315.9,315.9,308.1,310.9,311.21,708133,5402,220375539,137211,19.38,7.8,-5
16-04-2019,316.15,319.3,314.95,315.8,317.31,843477,5032,267644568,439737,52.13,4.35,-0.35
15-04-2019,315.3,318.5,314.1,315.65,316.6,584068,4978,184915740,117568,20.13,4.4,0.35
12-04-2019,314.5,316.5,311.5,315.3,314.01,655701,4992,205895658,113311,17.28,5,0.8
11-04-2019,311.2,315,308.95,314.7,312.58,815753,5717,254987600,187020,22.93,6.05,3.5
10-04-2019,315.15,317.25,310.5,311.2,313.61,864801,11955,271206311,144715,16.73,6.75,-3.95
09-04-2019,313.55,315.95,308.1,315.15,312.32,1568338,8163,489827253,326929,20.85,7.85,1.6
08-04-2019,318.8,319.3,311.25,312.8,315.04,757492,5601,238637918,105228,13.89,8.05,-6
05-04-2019,323.6,323.6,314.65,317,317.9,1136364,7417,361247331,361267,31.79,8.95,-6.6
04-04-2019,320.75,325.55,318.55,321.7,321.77,1046914,9530,336865792,162257,15.5,7,0.95
03-04-2019,330.3,332.65,319.55,320.65,326.16,1202674,8890,392259288,222707,18.52,13.1,-9.65
02-04-2019,323.5,330.5,321.9,328.55,326.67,1270507,10689,415038241,255776,20.13,8.6,5.05
