Birth Rate,Business Tax Rate,CO2 Emissions,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
0.024,0.738,114619,Low,Algeria,25,,37425,1.71E+11,0.038,183,451,0.025,0.102,0.08,72,69,0.757,0.274,0.68,0.047,35725377,0.661,Africa,474000000,617000000,12/1/2008
0.048,0.521,26597,Low,Angola,68,,11584,84178086999,0.038,177,272,0.115,0.046,0.125,51,48,0.37,0.479,0.497,0.024,18314441,0.385,Africa,293000000,447000000,12/1/2008
0.039,0.732,4492,Low,Benin,31,,3278,6633561835,0.042,31,270,0.066,0.019,,60,57,0.404,0.439,0.533,0.029,8973293,0.411,Africa,236000000,102000000,12/1/2008
0.025,0.171,4980,Friendly,Botswana,77,,2151,11113042238,0.053,307,140,0.043,0.063,0.165,46,46,0.768,0.348,0.618,0.034,1933719,0.558,Africa,59000000,54000000,12/1/2008
0.044,0.445,1698,Low,Burkina Faso,16,,,8350710389,0.086,39,270,0.076,0.009,,55,54,0.206,0.462,0.512,0.025,14659646,0.24,Africa,82000000,110000000,12/1/2008
0.045,2.797,249,Low,Burundi,13,,,1611634286,0.079,15,140,0.066,0.008,0.165,53,50,0.056,0.442,0.532,0.026,8624280,0.101,Africa,1600000,151000000,12/1/2008
0.039,0.504,5545,Low,Cameroon,38,,6395,23735537026,0.05,60,654,0.071,0.034,,54,52,0.314,0.438,0.53,0.033,19595026,0.503,Africa,167000000,563000000,12/1/2008
0.036,2.038,235,Low,Central African Republic,22,,,1985370255,0.043,20,504,0.107,0.01,,48,45,0.136,0.412,0.549,0.039,4185106,0.385,Africa,11800000,56000000,12/1/2008
0.048,0.713,510,Low,Chad,64,,,10351933632,0.036,27,732,0.097,0.012,,50,48,0.145,0.491,0.484,0.026,11030628,0.219,Africa,,,12/1/2008
0.038,2.179,125,Low,Comoros,22,,,530131963,0.052,42,100,0.066,0.03,0.105,61,58,0.141,0.42,0.55,0.03,649291,0.279,Africa,37000000,15000000,12/1/2008
0.045,2.881,2820,Low,"Congo (Kinshasa)",133,,22246,19206060075,0.073,15,308,0.097,0.004,0.432,50,47,0.169,0.458,0.514,0.028,58819038,0.389,Africa,700000,127000000,12/1/2008
0.039,0.659,1474,Low,"Congo (Brazzaville)",161,,1260,11859015181,0.021,64,606,0.049,0.043,,57,55,0.466,0.422,0.544,0.034,3876475,0.623,Africa,,,12/1/2008
0.036,0.446,6872,Low,Côte d'Ivoire,40,,10278,23414253328,0.065,83,270,0.082,0.019,,50,48,0.572,0.421,0.549,0.03,18260044,0.49,Africa,129000000,612000000,12/1/2008
0.029,0.378,524,Low,Djibouti,37,,,999105339,0.08,92,66,0.066,0.023,0.116,61,58,0.139,0.351,0.614,0.035,810100,0.769,Africa,7800000,15500000,12/1/2008
0.024,0.44,196797,Moderate,"Egypt",8,,72050,1.63E+11,0.048,101,711,0.021,0.18,0.123,72,68,0.547,0.318,0.628,0.054,75491922,0.431,Africa,12104000000,3390000000,12/1/2008
0.037,0.441,4503,Low,Equatorial Guinea,135,,,15419096232,0.034,792,492,0.08,0.018,,52,49,0.274,0.397,0.572,0.03,658025,0.39,Africa,,,12/1/2008
0.039,0.845,414,Low,Eritrea,84,,677,1380188800,0.034,9,216,0.042,0.005,,63,58,0.02,0.43,0.549,0.02,5382163,0.199,Africa,46000000,,12/1/2008
0.036,0.303,6370,Moderate,Ethiopia,18,,31482,26571320718,0.043,14,198,0.057,0.005,0.08,61,59,0.024,0.453,0.515,0.032,82621190,0.165,Africa,1184000000,156000000,12/1/2008
0.033,0.447,1566,Low,Gabon,57,,1880,15685389827,0.027,283,488,0.046,0.062,,62,60,0.877,0.389,0.556,0.055,1482843,0.849,Africa,,,12/1/2008
0.044,2.921,411,Low,"Gambia",27,,,965771303,0.041,25,376,0.054,0.069,0.27,59,56,0.739,0.46,0.514,0.025,1577984,0.548,Africa,80000000,8000000,12/1/2008
0.033,0.325,8529,Friendly,Ghana,13,,8958,28528016511,0.056,69,224,0.056,0.043,,61,59,0.501,0.394,0.571,0.035,23110139,0.494,Africa,970000000,870000000,12/1/2008
0.039,0.807,1214,Low,Guinea,40,,,4515824643,0.06,26,416,0.077,0.009,,55,54,0.267,0.432,0.536,0.032,10314678,0.34,Africa,2400000,30000000,12/1/2008
0.039,0.459,227,Low,Guinea-Bissau,259,,,842890956,0.06,34,208,0.089,0.024,,55,52,0.33,0.423,0.548,0.029,1516920,0.435,Africa,38200000,46100000,12/1/2008
0.038,0.493,10242,Moderate,Kenya,30,,17806,30465489796,0.042,33,417,0.056,0.087,0.14,59,56,0.42,0.426,0.547,0.026,38773277,0.228,Africa,1398000000,266000000,12/1/2008
0.028,0.196,18,Moderate,Lesotho,40,,,1630667593,0.089,73,324,0.082,0.036,0.162,46,46,0.301,0.385,0.571,0.044,1972199,0.238,Africa,30000000,248000000,12/1/2008
0.038,0.429,576,Low,Liberia,31,,,850040459,0.118,27,158,0.067,0.005,0.144,59,57,0.233,0.434,0.535,0.031,3672714,0.471,Africa,158000000,58000000,12/1/2008
0.022,,60392,Low,Libya,,,17738,93167701863,0.022,318,,0.016,0.09,0.06,76,73,1.256,0.297,0.658,0.044,5876805,0.773,Africa,99000000,1339000000,12/1/2008
0.036,0.426,1944,Moderate,Madagascar,7,,,9413002737,0.043,20,238,0.047,0.017,0.45,64,61,0.243,0.44,0.531,0.029,19926785,0.307,Africa,620000000,143000000,12/1/2008
0.042,0.322,1155,Low,Malawi,39,,,4276769712,0.084,25,292,0.059,0.007,0.253,52,52,0.107,0.46,0.509,0.03,14138207,0.153,Africa,43000000,86000000,12/1/2008
0.048,0.514,594,Low,Mali,25,,,8737687353,0.067,45,270,0.088,0.016,,53,53,0.262,0.465,0.505,0.03,13138299,0.344,Africa,286000000,228000000,12/1/2008
0.036,0.858,2021,Low,Mauritania,19,,,3790240831,0.043,46,696,0.072,0.019,0.203,62,59,0.611,0.409,0.559,0.031,3422901,0.553,Africa,,,12/1/2008
0.013,0.258,3953,Very Friendly,Mauritius,6,,,9641077098,0.046,362,161,0.014,0.218,0.115,76,69,0.845,0.224,0.704,0.072,1268565,0.41,Africa,1823000000,489000000,12/1/2008
0.021,0.529,49934,Friendly,Morocco,12,,14933,88882967742,0.054,156,358,0.031,0.331,,71,68,0.737,0.289,0.66,0.05,30955151,0.567,Africa,8885000000,1910000000,12/1/2008
0.042,0.375,2340,Moderate,Mozambique,26,,9264,9891003405,0.055,24,230,0.078,0.016,0.183,50,47,0.194,0.452,0.516,0.032,22762525,0.305,Africa,213000000,235000000,12/1/2008
0.028,0.228,3579,Friendly,Namibia,66,,1455,8493167843,0.069,287,339,0.041,0.053,0.137,63,57,0.498,0.387,0.579,0.034,2110791,0.396,Africa,484000000,114000000,12/1/2008
0.05,0.423,917,Low,Niger,19,,,5403364454,0.071,26,270,0.072,0.007,,56,56,0.129,0.496,0.479,0.026,14737895,0.172,Africa,86000000,98000000,12/1/2008
0.042,0.322,92621,Moderate,Nigeria,25,,111225,2.08E+11,0.065,88,938,0.088,0.159,0.155,51,50,0.417,0.438,0.535,0.027,151208080,0.417,Africa,959000000,11009000000,12/1/2008
0.038,0.334,543,Friendly,Rwanda,14,,,4674053754,0.101,47,160,0.05,0.045,0.165,61,59,0.129,0.447,0.53,0.023,10222961,0.22,Africa,224000000,146000000,12/1/2008
0.037,0.472,84,Low,Sao Tome and Principe,144,,,183464986,0.063,75,424,0.043,0.155,0.324,67,64,0.3,0.416,0.546,0.038,168253,0.604,Africa,7700000,300000,12/1/2008
0.039,0.455,5442,Low,Senegal,9,,3036,13386346543,0.049,54,666,0.051,0.106,,64,61,0.44,0.438,0.531,0.031,12238791,0.417,Africa,637000000,276000000,12/1/2008
0.018,0.466,708,Friendly,Seychelles,39,,,967211975,0.027,289,76,0.012,0.404,0.118,79,68,1.04,0.229,0.696,0.075,86956,0.518,Africa,46000000,7000000,12/1/2008
0.04,2.352,664,Moderate,Sierra Leone,17,,,2505620416,0.142,64,399,0.12,0.003,0.245,44,44,0.182,0.424,0.551,0.025,5532139,0.376,Africa,34000000,24000000,12/1/2008
0.046,,609,Not Clustered,Somalia,,,,,,,,0.102,0.011,,55,52,0.069,0.478,0.493,0.029,9140259,0.364,Africa,,,12/1/2008
