transaction_id,Prod1,Prod2,Prod3
100001,Wallet,Electronic Lockers,Watches
100002,Wick Trimmers,Earphones,Watches
100003,Wick Trimmers,Candle Stands,Watches
100004,Wallet,Candle Stands,Candle Lighters
100005,Pen,Candle Stands,Watches
100006,Wallet,Earphones,Candle Lighters
100007,Gold Rings,Earphones,Watches
100008,Wick Trimmers,Candle Stands,Watches
100009,Wallet,Candle Stands,Watches
100010,Pen,Earphones,Watches
100011,Wick Trimmers,Electronic Lockers,Watches
100012,Wallet,Electronic Lockers,Watches
100013,Pen,Earphones,Candle Lighters
100014,Wick Trimmers,Earphones,Watches
100015,Pen,Earphones,Candle Lighters
100016,Wick Trimmers,Earphones,Candle Lighters
100017,Wick Trimmers,Candle Stands,Watches
100018,Wick Trimmers,Candle Stands,Candle Lighters
100019,Wick Trimmers,Electronic Lockers,Candle Lighters
100020,Gold Rings,Electronic Lockers,Watches
100021,Pen,Earphones,Watches
100022,Wick Trimmers,Electronic Lockers,Candle Lighters
100023,Pen,Earphones,Watches
100024,Gold Rings,Candle Stands,Watches
100025,Pen,Earphones,Candle Lighters
100026,Wallet,Candle Stands,Watches
100027,Gold Rings,Earphones,Candle Lighters
100028,Wallet,Earphones,Watches
100029,Pen,Electronic Lockers,Candle Lighters
100030,Wallet,Earphones,Watches
100031,Pen,Electronic Lockers,Watches
100032,Wick Trimmers,Candle Stands,Watches
100033,Wallet,Candle Stands,Watches
100034,Pen,Earphones,Watches
100035,Wick Trimmers,Earphones,Candle Lighters
100036,Gold Rings,Electronic Lockers,Watches
100037,Gold Rings,Candle Stands,Candle Lighters
100038,Gold Rings,Electronic Lockers,Candle Lighters
100039,Wick Trimmers,Electronic Lockers,Watches
100040,Pen,Earphones,Candle Lighters
100041,Gold Rings,Candle Stands,Watches
100042,Pen,Electronic Lockers,Candle Lighters
100043,Wick Trimmers,Electronic Lockers,Watches
100044,Pen,Electronic Lockers,Candle Lighters
100045,Wick Trimmers,Electronic Lockers,Watches
100046,Wick Trimmers,Electronic Lockers,Candle Lighters
100047,Wick Trimmers,Earphones,Candle Lighters
100048,Wick Trimmers,Candle Stands,Candle Lighters
100049,Pen,Earphones,Candle Lighters
100050,Wick Trimmers,Electronic Lockers,Candle Lighters
100051,Wallet,Earphones,Watches
100052,Pen,Candle Stands,Candle Lighters
100053,Gold Rings,Earphones,Watches
100054,Wick Trimmers,Electronic Lockers,Candle Lighters
100055,Wick Trimmers,Electronic Lockers,Watches
100056,Gold Rings,Candle Stands,Candle Lighters
100057,Wallet,Earphones,Candle Lighters
100058,Gold Rings,Earphones,Watches
100059,Pen,Candle Stands,Watches
100060,Gold Rings,Electronic Lockers,Candle Lighters
100061,Wallet,Earphones,Candle Lighters
100062,Gold Rings,Earphones,Watches
100063,Wick Trimmers,Earphones,Candle Lighters
100064,Wick Trimmers,Candle Stands,Candle Lighters
100065,Wallet,Candle Stands,Watches
100066,Wick Trimmers,Electronic Lockers,Candle Lighters
100067,Wallet,Candle Stands,Candle Lighters
100068,Wallet,Candle Stands,Candle Lighters
100069,Wick Trimmers,Earphones,Watches
100070,Pen,Candle Stands,Watches
100071,Wallet,Earphones,Watches
100072,Wick Trimmers,Electronic Lockers,Candle Lighters
100073,Pen,Earphones,Candle Lighters
100074,Gold Rings,Candle Stands,Watches
100075,Wallet,Electronic Lockers,Watches
100076,Pen,Earphones,Candle Lighters
100077,Wallet,Electronic Lockers,Watches
100078,Gold Rings,Earphones,Candle Lighters
100079,Gold Rings,Electronic Lockers,Candle Lighters
100080,Gold Rings,Candle Stands,Candle Lighters
100081,Gold Rings,Candle Stands,Watches
100082,Wick Trimmers,Earphones,Watches
100083,Pen,Candle Stands,Watches
100084,Wick Trimmers,Earphones,Candle Lighters
100085,Wick Trimmers,Electronic Lockers,Candle Lighters
100086,Wick Trimmers,Earphones,Watches
100087,Wick Trimmers,Electronic Lockers,Candle Lighters
100088,Pen,Electronic Lockers,Watches
100089,Wick Trimmers,Earphones,Candle Lighters
100090,Pen,Earphones,Watches
100091,Wick Trimmers,Candle Stands,Watches
100092,Gold Rings,Candle Stands,Watches
100093,Pen,Earphones,Candle Lighters
100094,Wallet,Electronic Lockers,Watches
100095,Wick Trimmers,Electronic Lockers,Watches
100096,Pen,Candle Stands,Watches
100097,Wick Trimmers,Earphones,Watches
100098,Pen,Electronic Lockers,Watches
100099,Wallet,Earphones,Candle Lighters
100100,Gold Rings,Earphones,Watches
100101,Gold Rings,Earphones,Candle Lighters
100102,Wick Trimmers,Earphones,Candle Lighters
100103,Wallet,Electronic Lockers,Candle Lighters
100104,Gold Rings,Candle Stands,Candle Lighters
100105,Wick Trimmers,Electronic Lockers,Candle Lighters
100106,Gold Rings,Candle Stands,Candle Lighters
100107,Wallet,Electronic Lockers,Watches
100108,Wallet,Candle Stands,Candle Lighters
100109,Pen,Electronic Lockers,Watches
100110,Wick Trimmers,Earphones,Watches
100111,Wallet,Earphones,Candle Lighters
100112,Pen,Electronic Lockers,Candle Lighters
100113,Wick Trimmers,Candle Stands,Candle Lighters
100114,Wallet,Earphones,Candle Lighters
100115,Wick Trimmers,Electronic Lockers,Candle Lighters
100116,Pen,Earphones,Candle Lighters
100117,Wallet,Electronic Lockers,Candle Lighters
100118,Wick Trimmers,Electronic Lockers,Watches
100119,Wick Trimmers,Earphones,Candle Lighters
100120,Wallet,Electronic Lockers,Watches
100121,Wick Trimmers,Candle Stands,Watches
100122,Wallet,Electronic Lockers,Watches
100123,Wallet,Electronic Lockers,Candle Lighters
100124,Gold Rings,Candle Stands,Candle Lighters
100125,Pen,Electronic Lockers,Candle Lighters
100126,Wick Trimmers,Earphones,Candle Lighters
100127,Wick Trimmers,Earphones,Watches
100128,Gold Rings,Earphones,Watches
100129,Wick Trimmers,Earphones,Candle Lighters
100130,Gold Rings,Earphones,Candle Lighters
100131,Wick Trimmers,Candle Stands,Candle Lighters
100132,Wick Trimmers,Earphones,Watches
100133,Pen,Earphones,Candle Lighters
100134,Pen,Earphones,Candle Lighters
