prod_subcat_code,prod_cat_code,cust_id,transaction_id,tran_date,Qty,Rate,Tax,total_amt,Store_type,DOB,Gender,city_code,prod_cat,prod_subcat
1,1,271847,788442271,11-10-2011,2,368,77.28,813.28,e-Shop,24-12-1989,F,10,Clothing,Women
1,1,268161,44627697269,NA,3,1309,412.335,4339.335,Flagship store,25-06-1979,M,4,Clothing,Women
1,1,271803,41310269217,NA,4,624,262.08,2758.08,TeleShop,28-05-1976,F,7,Clothing,Women
1,1,267316,9044824427,NA,4,1386,582.12,6126.12,MBR,22-02-1992,M,1,Clothing,Women
1,1,271834,87754053788,NA,4,741,311.22,3275.22,TeleShop,12-05-1980,M,9,Clothing,Women
1,1,274956,70997907379,NA,4,1352,567.84,5975.84,e-Shop,02-09-1981,M,10,Clothing,Women
1,1,269953,22330055748,10-07-2012,1,431,45.255,476.255,Flagship store,01-03-1972,M,8,Clothing,Women
1,1,272974,5938583105,NA,2,629,132.09,1390.09,e-Shop,16-05-1989,M,2,Clothing,Women
1,1,273907,48878101574,NA,3,1056,332.64,3500.64,e-Shop,01-11-1989,F,5,Clothing,Women
1,1,269003,76147851229,09-12-2012,5,678,355.95,3745.95,e-Shop,12-08-1973,M,6,Clothing,Women
1,1,270641,80998105238,09-08-2013,3,1048,330.12,3474.12,e-Shop,24-04-1991,M,3,Clothing,Women
1,1,268663,91610903734,NA,2,1129,237.09,2495.09,e-Shop,17-05-1975,F,8,Clothing,Women
1,1,273020,49473025628,NA,-1,-397,41.685,-438.685,Flagship store,02-10-1981,M,5,Clothing,Women
1,1,267324,90905620050,NA,3,665,209.475,2204.475,e-Shop,26-09-1991,F,3,Clothing,Women
1,1,267832,17792336273,NA,4,523,219.66,2311.66,e-Shop,04-10-1979,M,9,Clothing,Women
1,1,272035,43097491422,NA,3,1087,342.405,3603.405,MBR,01-05-1983,F,2,Clothing,Women
1,1,270555,19476563900,06-07-2012,3,440,138.6,1458.6,TeleShop,05-11-1982,M,9,Clothing,Women
1,1,268571,64908614797,NA,1,926,97.23,1023.23,e-Shop,25-05-1982,F,2,Clothing,Women
1,1,273230,16531038014,NA,4,505,212.1,2232.1,MBR,29-05-1991,F,9,Clothing,Women
1,1,269388,42324045497,11-10-2011,-4,-1095,459.9,-4839.9,e-Shop,14-11-1975,M,3,Clothing,Women
1,1,268245,72177015677,NA,5,519,272.475,2867.475,e-Shop,28-06-1983,M,7,Clothing,Women
1,1,272435,64914943031,NA,1,937,98.385,1035.385,e-Shop,13-03-1972,F,7,Clothing,Women
1,1,272703,34726547732,NA,2,935,196.35,2066.35,e-Shop,08-06-1985,F,7,Clothing,Women
1,1,270949,22826695874,NA,4,1481,622.02,6546.02,e-Shop,09-12-1990,M,9,Clothing,Women
1,1,272098,49268583940,NA,1,678,71.19,749.19,MBR,25-06-1971,F,4,Clothing,Women
1,1,267701,39601904854,NA,-5,-930,488.25,-5138.25,Flagship store,18-05-1992,M,2,Clothing,Women
1,1,272959,6426215224,02-08-2013,1,203,21.315,224.315,MBR,09-07-1983,M,1,Clothing,Women
1,1,272874,72776299186,NA,4,1044,438.48,4614.48,Flagship store,15-02-1971,F,1,Clothing,Women
1,1,270265,10870253111,NA,-2,-308,64.68,-680.68,TeleShop,22-02-1988,F,5,Clothing,Women
1,1,269365,35479816591,01-08-2013,2,576,120.96,1272.96,e-Shop,26-04-1992,M,8,Clothing,Women
1,1,267683,38374642212,05-05-2012,-4,-169,70.98,-746.98,e-Shop,26-02-1985,M,10,Clothing,Women
1,1,271580,93873054470,NA,4,932,391.44,4119.44,e-Shop,06-09-1978,M,7,Clothing,Women
1,1,274999,11824708239,02-02-2014,1,1430,150.15,1580.15,e-Shop,19-03-1984,M,5,Clothing,Women
1,1,269910,97096641322,NA,4,138,57.96,609.96,TeleShop,13-08-1974,F,5,Clothing,Women
1,1,273230,16531038014,01-01-2014,-4,-505,212.1,-2232.1,MBR,29-05-1991,F,9,Clothing,Women
1,1,269929,60695495006,08-11-2011,4,640,268.8,2828.8,Flagship store,17-11-1989,M,4,Clothing,Women
1,1,274789,70003642399,08-01-2014,1,1241,130.305,1371.305,TeleShop,01-09-1981,M,3,Clothing,Women
1,1,275188,48515918191,NA,4,386,162.12,1706.12,e-Shop,29-12-1980,F,4,Clothing,Women
1,1,269388,42324045497,NA,-4,-1095,459.9,-4839.9,e-Shop,14-11-1975,M,3,Clothing,Women
1,1,269639,28570720299,NA,4,1202,504.84,5312.84,e-Shop,02-01-1976,M,4,Clothing,Women
1,1,274215,26662331164,NA,5,694,364.35,3834.35,MBR,23-01-1971,M,8,Clothing,Women
1,1,268922,89821635260,NA,5,850,446.25,4696.25,TeleShop,27-10-1979,M,7,Clothing,Women
1,1,267707,7232517558,08-10-2013,-1,-611,64.155,-675.155,Flagship store,02-10-1970,F,2,Clothing,Women
1,1,272858,36757799009,NA,4,481,202.02,2126.02,e-Shop,01-11-1990,M,1,Clothing,Women
1,1,274780,92874142137,11-11-2013,5,1496,785.4,8265.4,e-Shop,01-05-1973,M,6,Clothing,Women
1,1,274452,97468706513,NA,1,822,86.31,908.31,MBR,11-08-1973,F,4,Clothing,Women
1,1,274411,34490189973,NA,-3,-1193,375.795,-3954.795,TeleShop,04-03-1975,F,9,Clothing,Women
1,1,269844,62538503319,NA,1,1192,125.16,1317.16,e-Shop,25-05-1971,F,9,Clothing,Women
1,1,266897,53559176393,NA,3,163,51.345,540.345,e-Shop,29-05-1975,F,4,Clothing,Women
1,1,273162,92322562229,NA,1,158,16.59,174.59,Flagship store,19-06-1970,M,8,Clothing,Women
1,1,269268,19854773184,NA,3,1385,436.275,4591.275,TeleShop,11-12-1987,M,5,Clothing,Women
1,1,269864,13140723817,NA,1,786,82.53,868.53,e-Shop,14-12-1980,M,5,Clothing,Women
1,1,274801,14493991692,NA,5,1492,783.3,8243.3,TeleShop,08-11-1976,F,5,Clothing,Women
1,1,271100,72070772239,NA,5,1160,609,6409,TeleShop,23-05-1985,F,9,Clothing,Women
1,1,271705,44903643783,08-09-2012,1,827,86.835,913.835,Flagship store,15-11-1980,M,10,Clothing,Women
1,1,269967,34518399421,NA,2,729,153.09,1611.09,e-Shop,08-10-1987,F,3,Clothing,Women
1,1,268498,2468632151,07-01-2013,3,664,209.16,2201.16,Flagship store,25-09-1987,M,7,Clothing,Women
1,1,271877,67088172893,01-01-2014,1,902,94.71,996.71,e-Shop,28-03-1992,F,6,Clothing,Women
1,1,270677,45975085761,01-08-2012,-4,-192,80.64,-848.64,e-Shop,17-07-1990,M,2,Clothing,Women
1,1,271485,95370784452,NA,5,188,98.7,1038.7,TeleShop,01-05-1971,M,10,Clothing,Women
1,1,275076,74486341005,NA,2,584,122.64,1290.64,Flagship store,06-11-1978,M,5,Clothing,Women
1,1,267049,99438726059,NA,3,86,27.09,285.09,e-Shop,28-09-1984,M,10,Clothing,Women
1,1,273254,57014925827,NA,2,186,39.06,411.06,TeleShop,05-07-1982,M,3,Clothing,Women
1,1,267801,38221161986,NA,3,1046,329.49,3467.49,MBR,27-10-1981,F,5,Clothing,Women
1,1,274877,42711700117,NA,3,514,161.91,1703.91,Flagship store,02-12-1984,M,6,Clothing,Women
1,1,270229,4397272730,NA,5,160,84,884,MBR,01-12-1977,M,9,Clothing,Women
